profile,nr_reactions,nr_comments,nr_shares,comments/post,post_interaction_rate,engagement,nr_likes,post_id,followers,post_type
belmont park,13,0,0,0,"2,57E+11",257000000000.0,13,83231004302_766141475549918,51000,1
skypark at santa's village,112,2,7,4,0.002208893039293154,0.0022088930392931,93,653315854781004_673117765002364,57000,1
lake compounce,76,4,3,6,"5,17E+11",517000000000.0,66,80018245271_790847853078405,166000,1
busch gardens williamsburg,46,12,1,12,"8,30E+10",83000000000.0,39,18543728314_758433139658657,690000,1
santa cruz beach boardwalk,157,5,7,6,"4,10E+12",4100000000000.0,139,40035168377_800073015497068,400000,1
knott's berry farm,214,20,31,50,"4,61E+11",461000000000.0,180,10286130875_757618293083241,637000,1
busch gardens tampa bay,94,6,8,11,"1,67E+12",1670000000000.0,86,68181225238_754717153353591,692000,1
big kahuna's nj,6,0,0,0,"3,32E+10",33200000000.0,6,26451078324_754126690086438,181000,1
gilroy gardens,18,1,3,1,"2,69E+11",269000000000.0,14,122943674395623_773694061462243,83000,1
walt disney animation studios,606,20,73,23,"5,50E+09",5500000000.0,410,23245476854_932871538209703,12000000,2
six flags,214,13,19,16,"5,41E+10",54100000000.0,182,8696281132_695294406132183,4400000,2
six flags discovery kingdom,19,2,6,2,"1,01E+12",1010000000000.0,14,59636827742_758265009669303,275000,1
silverwood theme park,93,16,5,29,"3,32E+12",3320000000000.0,83,762701550509617_677850747877655,381000,1
west edmonton mall,108,4,14,6,"6,93E+11",693000000000.0,98,207298682218_759683416206093,189464,1
sesame place san diego,18,0,13,0,0.0011754891551645685,0.0011754891551645,14,116946949686332_903200901815624,29000,2
fun spot america,31,1,4,1,"3,66E+12",3660000000000.0,26,184020466977_871107128049716,100000,1
california's great america,48,23,3,46,"3,69E+12",3690000000000.0,38,28442453154_658103709869531,262000,1
busch gardens tampa bay,119,5,6,5,"1,92E+12",1920000000000.0,91,68181225238_754593220032651,692000,1
seaworld san diego,38,2,1,3,"3,74E+12",3740000000000.0,34,426111667814056_688726323405329,127000,1
gilroy gardens,734,9,4,9,0.009131471181468126,0.0091314711814681,662,122943674395623_763203219177994,83000,1
playland,2,1,0,1,"9,28E+09",9280000000.0,2,170865866397863_681332167457887,23000,1
wild adventures theme park,12,1,0,1,"7,06E+09",7060000000.0,11,84679583132_768807541959097,66,1
hersheypark,233,13,23,17,"3,17E+11",317000000000.0,201,16994689356_762263209266879,854000,1
canada's wonderland,39,3,4,3,"5,39E+10",53900000000.0,37,95469803923_773889218113061,837016,1
glenwood caverns adventure park,74,6,9,10,0.0010390480978716274,0.0010390480978716,69,58441077768_777727184399372,93000,1
playland,3,0,0,0,"9,28E+09",9280000000.0,3,170865866397863_685633590361078,23000,1
disneyland paris,213,26,4,30,"4,72E+10",47200000000.0,179,652389081615295_774516851383723,5200000,1
sea life park,26,0,1,0,0.0010185220113923573,0.0010185220113923,20,105015532870022_696062362626961,26000,1
six flags magic mountain,164,16,7,31,"3,07E+11",307000000000.0,138,67502107124_757075746455087,660000,1
wild adventures theme park,33,1,3,6,"2,28E+11",228000000000.0,24,84679583132_768459528660565,66,1
six flags great adventure,182,10,6,10,"1,76E+12",1760000000000.0,147,69421318512_748667330629270,1100000,1
six flags magic mountain,55,5,0,7,"9,43E+10",94300000000.0,43,67502107124_757007833128545,660000,1
happy hollow park & zoo,15,1,0,1,"4,05E+09",4050000000.0,12,132942835175_752539453569559,39000,1
kings island,45,2,1,2,"7,01E+10",70100000000.0,36,155893938367_765590535608637,692000,1
six flags discovery kingdom,18,0,2,0,"7,51E+10",75100000000.0,13,59636827742_757798119715992,275000,1
cedar point,112,12,35,12,"1,01E+12",1010000000000.0,93,10625691462_765249258967665,1500000,1
legoland california,45,6,6,12,"9,64E+10",96400000000.0,38,143631389003522_765167145649549,650000,2
fun spot america,24,1,0,1,"2,54E+11",254000000000.0,22,184020466977_765553835610631,100000,3
santa cruz beach boardwalk,184,7,9,7,"4,82E+11",482000000000.0,140,40035168377_799344592236577,400000,1
six flags,45,1,3,2,"1,09E+10",10900000000.0,41,8696281132_694785482849742,4400000,2
wild adventures theme park,20,1,2,1,"1,25E+10",12500000000.0,16,84679583132_768383885334796,66,1
skypark at santa's village,41,0,3,0,"7,90E+11",790000000000.0,33,653315854781004_672545178392956,57000,1
waterville usa,3,1,1,1,"8,68E+09",8680000000.0,2,138319355040_673238031692211,58000,1
playland,5,0,0,0,"1,55E+11",155000000000.0,5,170865866397863_685275093730261,23000,3
walt disney animation studios,877,24,49,34,"7,53E+09",7530000000.0,658,23245476854_932877834875740,12000000,1
santa cruz beach boardwalk,134,11,14,15,"3,93E+12",3930000000000.0,105,40035168377_799262852244751,400000,1
six flags great escape and hurricane harbor,323,14,27,14,0.004306418219461697,0.0043064182194616,261,51613191805_752097393617771,84000,1
walt disney animation studios,22517,85,1505,115,0.0018926996073924517,0.0018926996073924,19751,23245476854_932864751543715,12000000,2
universal orlando resort (us),608,22,49,53,"2,30E+12",2300000000000.0,457,90867402851_773444758150232,3100000,1
seaworld orlando,167,21,20,23,"8,79E+11",879000000000.0,135,1782696285170057_375594221809004,267000,2
west edmonton mall,246,39,25,58,0.0017826084600755306,0.0017826084600755,229,207298682218_759100102931091,189464,1
hersheypark,228,22,20,44,"3,40E+12",3400000000000.0,163,16994689356_1080176066742838,854000,2
busch gardens williamsburg,287,23,8,33,"4,61E+11",461000000000.0,237,18543728314_757729286395709,690000,1
seaworld san diego,413,21,36,26,0.004229214523567854,0.0042292145235678,253,426111667814056_688190840125544,127000,1
lake compounce,27,4,1,9,"2,25E+12",2250000000000.0,21,80018245271_789857916510732,166000,1
disneyland,658,51,54,88,"4,66E+10",46600000000.0,550,11081890741_754414476712433,16000000,3
quassy amusement & waterpark,18,3,0,3,"5,42E+11",542000000000.0,14,38328744398_762358992590588,39000,1
castles & coasters,0,0,0,0,0.0,0.0,0,252289045458198_741299711354215,2300,1
playland,3,0,0,0,"9,28E+09",9280000000.0,3,170865866397863_685066253751145,23000,1
sea life park,8,0,1,0,"3,40E+11",340000000000.0,4,105015532870022_695465842686613,26000,1
disneyland,1251,64,46,127,"8,29E+10",82900000000.0,1043,11081890741_754070483413499,16000000,1
elitch gardens,23,1,1,1,"1,69E+11",169000000000.0,17,62242807350_750128573820103,145000,1
belmont park,19,1,5,3,"5,34E+10",53400000000.0,15,83231004302_765001598997239,51000,1
knott's berry farm,290,24,33,42,"5,71E+11",571000000000.0,259,10286130875_756580213187049,637000,1
six flags over georgia & hurricane harbor,50,5,3,5,"1,19E+12",1190000000000.0,38,34284255238_751275840368714,479000,1
wild adventures theme park,14,1,3,3,"1,09E+12",1090000000000.0,13,84679583132_767797538726764,66,1
kings island,252,19,50,31,"4,86E+11",486000000000.0,195,155893938367_764968625670828,692000,2
hersheypark,219,12,17,20,"2,98E+12",2980000000000.0,194,16994689356_761303379362862,854000,1
cedar point,45,5,2,6,"3,38E+10",33800000000.0,43,10625691462_764545615704696,1500000,1
california's great america,48,13,6,19,"2,77E+12",2770000000000.0,41,28442453154_657162543296981,262000,1
enchanted island amusement park,24,2,8,7,0.0027585231291554677,0.0027585231291554,23,120659204674179_687261140156104,15000,1
six flags discovery kingdom,19,0,4,0,"8,64E+10",86400000000.0,16,59636827742_757157596446711,275000,1
playland,4,0,0,0,"1,24E+11",124000000000.0,4,170865866397863_684751303782640,23000,3
wild adventures theme park,24,2,8,2,"1,85E+12",1850000000000.0,18,84679583132_767739515399233,66,1
happy hollow park & zoo,18,0,0,0,"4,56E+12",4560000000000.0,18,132942835175_751876903635814,39000,2
big kahuna's nj,22,1,0,11,"1,83E+12",1830000000000.0,19,26451078324_752972460201861,181000,1
seaworld san diego,78,4,10,4,"8,19E+11",819000000000.0,58,426111667814056_687733393504622,127000,3
playland,4,0,0,0,"1,24E+11",124000000000.0,4,170865866397863_684718753785895,23000,1
hersheypark,59,5,4,8,"8,26E+10",82600000000.0,55,16994689356_761213896038477,854000,1
skypark at santa's village,49,0,5,0,"9,70E+11",970000000000.0,38,653315854781004_671931198454354,57000,1
santa cruz beach boardwalk,21,1,2,1,"5,78E+11",578000000000.0,19,40035168377_794978556006514,400000,1
acn - america's coaster network,3,1,0,2,0.0026041666666666665,0.0026041666666666,2,111078814744_1035390767563834,4000,1
silverwood theme park,28,56,1,59,"2,30E+12",2300000000000.0,25,762701550509617_676762337986496,381000,1
santa cruz beach boardwalk,178,9,9,16,"4,89E+10",48900000000.0,155,40035168377_798503978987305,400000,1
sesame place san diego,61,4,28,4,0.0035274037549781908,0.0035274037549781,41,116946949686332_901798368622544,29000,1
lake compounce,20,8,7,21,"2,92E+12",2920000000000.0,16,80018245271_789874176509106,166000,1
disneyland,273,26,13,37,"1,88E+10",18800000000.0,225,11081890741_753869616766919,16000000,3
walt disney animation studios,714,29,102,56,"6,84E+10",68400000000.0,471,23245476854_932373581592832,12000000,2
seaworld san diego,57,1,6,1,"5,70E+11",570000000000.0,42,426111667814056_687663476844947,127000,2
seaworld orlando,3642,70,221,79,0.01649469006552685,0.0164946900655268,2967,1782696285170057_374990475202712,267000,1
busch gardens tampa bay,134,8,11,17,"2,40E+12",2400000000000.0,110,68181225238_753487930143180,692000,1
west edmonton mall,26,0,7,0,"1,79E+12",1790000000000.0,21,207298682218_758510349656733,189464,3
busch gardens williamsburg,130,14,15,21,"2,33E+12",2330000000000.0,108,18543728314_757131699788801,690000,1
wild adventures theme park,13,2,0,3,"8,70E+10",87000000000.0,9,84679583132_767620502077801,66,3
gilroy gardens,1732,23,15,30,0.021729294806735227,0.0217292948067352,1594,122943674395623_763197175845265,83000,1
waterville usa,4,0,2,0,"1,04E+12",1040000000000.0,4,138319355040_656150616734286,58000,1
legoland california,36,5,3,12,"7,81E+10",78100000000.0,34,143631389003522_764324689067128,650000,2
universal orlando resort (us),240,17,57,26,"1,05E+12",1050000000000.0,193,90867402851_772711024890272,3100000,2
california's great america,59,14,4,49,"4,26E+12",4260000000000.0,46,28442453154_656973679982534,262000,1
kings island,33,4,3,4,"5,84E+11",584000000000.0,26,155893938367_764746542359703,692000,1
six flags great adventure,157,31,5,77,"2,13E+12",2130000000000.0,130,69421318512_747806760715327,1100000,1
canada's wonderland,39,11,5,25,"8,08E+10",80800000000.0,34,95469803923_772611604907489,837016,2
playland,4,0,1,0,"1,55E+11",155000000000.0,3,170865866397863_684513497139754,23000,1
disneyland paris,297,65,6,90,"7,51E+09",7510000000.0,259,652389081615295_773268348175240,5200000,1
sea life park,23,8,3,8,0.0012829220436193494,0.0012829220436193,17,105015532870022_694904399409424,26000,1
acn - america's coaster network,1,0,0,0,"5,21E+11",521000000000.0,1,111078814744_1034984777604433,4000,1
gilroy gardens,967,14,23,28,0.01244818351899632,0.0124481835189963,872,122943674395623_763193229178993,83000,1
lake compounce,61,5,5,14,"4,87E+11",487000000000.0,52,80018245271_789355219894335,166000,3
kings island,59,3,7,3,"1,01E+12",1010000000000.0,52,155893938367_764372389063785,692000,1
six flags over georgia & hurricane harbor,53,4,4,7,"1,31E+12",1310000000000.0,39,34284255238_750624303767201,479000,1
walt disney animation studios,1373,35,93,50,"1,19E+11",119000000000.0,994,23245476854_932304628266394,12000000,2
canada's wonderland,108,15,18,33,"1,86E+12",1860000000000.0,95,95469803923_772147094953940,837016,1
six flags,194,8,7,10,"4,58E+10",45800000000.0,177,8696281132_693594866302137,4400000,2
wild adventures theme park,28,2,1,2,"1,68E+12",1680000000000.0,23,84679583132_767113302128521,66,1
happy hollow park & zoo,21,0,1,0,"5,57E+11",557000000000.0,19,132942835175_751268720363299,39000,1
happy hollow park & zoo,11,1,0,1,"3,04E+11",304000000000.0,9,132942835175_751268723696632,39000,1
skypark at santa's village,21,1,2,1,"4,31E+12",4310000000000.0,18,653315854781004_671379541842853,57000,1
santa cruz beach boardwalk,968,34,39,54,0.0025561891820917383,0.0025561891820917,883,40035168377_788541149983588,400000,3
adventure city,443,10,24,11,0.013726165862623478,0.0137261658626234,384,155862431097096_770079755146181,35000,3
six flags great adventure,237,14,14,26,"2,46E+10",24600000000.0,214,69421318512_747346644094672,1100000,2
belmont park,6,0,2,0,"1,58E+12",1580000000000.0,6,83231004302_764178899079509,51000,1
knott's berry farm,532,34,44,60,"9,94E+11",994000000000.0,430,10286130875_755883656590038,637000,1
seaworld san diego,47,1,3,1,"4,54E+12",4540000000000.0,40,426111667814056_687122710232357,127000,1
six flags discovery kingdom,33,2,4,2,"1,46E+12",1460000000000.0,24,59636827742_756513083177829,275000,1
gilroy gardens,26,2,3,2,"3,79E+11",379000000000.0,21,122943674395623_768870225277960,83000,1
cedar point,332,10,24,11,"2,34E+12",2340000000000.0,258,10625691462_763717782454146,1500000,1
elitch gardens,101,11,6,43,0.0010126787377972212,0.0010126787377972,78,62242807350_749359583897002,145000,1
universal orlando resort (us),604,56,22,81,"2,29E+11",229000000000.0,476,90867402851_772040638290644,3100000,1
seaworld orlando,197,8,14,21,"9,71E+11",971000000000.0,159,1782696285170057_374413661927060,267000,1
west edmonton mall,63,113,11,216,0.0015713898672446492,0.0015713898672446,58,207298682218_757926639715104,189464,3
wild adventures theme park,139,10,13,13,"8,97E+11",897000000000.0,110,84679583132_766989358807582,66,1
disneyland,1129,67,105,136,"7,98E+10",79800000000.0,845,11081890741_753188713501676,16000000,1
legoland california,29,3,1,4,"5,20E+11",520000000000.0,25,143631389003522_763704349129162,650000,2
hersheypark,719,14,56,17,"9,21E+11",921000000000.0,575,16994689356_760515062775027,854000,1
west edmonton mall,34,1,4,1,"2,11E+11",211000000000.0,31,207298682218_757867499721018,189464,1
busch gardens tampa bay,188,18,17,24,"3,39E+12",3390000000000.0,159,68181225238_752830976875542,692000,1
walt disney world,2041,183,283,549,"1,67E+11",167000000000.0,1407,155669083273_759796206191031,16000000,2
busch gardens williamsburg,298,11,8,33,"4,77E+12",4770000000000.0,252,18543728314_756425229859448,690000,1
playland,3,0,0,0,"9,28E+09",9280000000.0,3,170865866397863_684002233857547,23000,3
castles & coasters,2,0,0,0,"8,09E+11",809000000000.0,2,252289045458198_740062061477980,2300,1
playland,1,0,0,0,"3,09E+09",3090000000.0,1,170865866397863_683976103860160,23000,1
sea life park,28,3,1,3,0.0012074104818322455,0.0012074104818322,21,105015532870022_694343346132196,26000,1
six flags great adventure,135,7,6,7,"1,32E+12",1320000000000.0,104,69421318512_746909184138418,1100000,1
wild adventures theme park,16,3,0,4,"1,09E+12",1090000000000.0,12,84679583132_766545632185288,66,1
elitch gardens,45,2,4,2,"3,44E+12",3440000000000.0,29,62242807350_748755193957441,145000,1
skypark at santa's village,138,9,11,9,0.0028377456086784727,0.0028377456086784,85,653315854781004_670858378561636,57000,1
happy hollow park & zoo,35,2,1,2,"9,62E+11",962000000000.0,27,132942835175_750672333756271,39000,1
six flags great escape and hurricane harbor,119,3,5,3,0.0015023718547786072,0.0015023718547786,86,51613191805_750288693798641,84000,1
six flags magic mountain,198,11,6,13,"3,30E+11",330000000000.0,156,67502107124_755095603319768,660000,1
marineland,122,11,3,18,0.0016273115220483642,0.0016273115220483,96,108249372532899_739405608219444,22000,3
wild adventures theme park,77,5,11,5,"5,05E+11",505000000000.0,48,84679583132_766451282194723,66,1
walt disney animation studios,9549,192,1663,231,"8,97E+10",89700000000.0,6424,23245476854_931652371664953,12000000,1
seaworld,403,21,8,23,"2,35E+12",2350000000000.0,320,63617892564_757600746407180,1700000,1
sesame place san diego,46,2,10,2,0.002200637426013052,0.002200637426013,36,116946949686332_900340038768377,29000,1
walt disney studios (us),181,20,14,23,"5,92E+09",5920000000.0,162,111382562236411_893987839016820,16000000,2
silverwood theme park,178,23,9,27,"5,59E+11",559000000000.0,141,762701550509617_675596981436365,381000,1
six flags great america/hurricane harbor,308,18,26,32,"4,85E+12",4850000000000.0,234,10583866355_838738251629930,733000,1
wild adventures theme park,149,13,4,14,"9,08E+11",908000000000.0,109,84679583132_766396882200163,66,1
skypark at santa's village,29,0,1,0,"5,39E+11",539000000000.0,21,653315854781004_670736238573850,57000,1
seaworld orlando,241,20,14,22,0.0011592868502552942,0.0011592868502552,184,1782696285170057_373792395322520,267000,2
walt disney studios (us),196,5,8,5,"5,67E+09",5670000000.0,162,111382562236411_893986255683645,16000000,2
seaworld san diego,447,22,29,23,0.00444440485945349,0.0044444048594534,322,426111667814056_686509550293673,127000,2
knott's berry farm,495,34,23,52,"8,91E+10",89100000000.0,361,10286130875_755176033327467,637000,2
lake compounce,81,5,2,6,"5,42E+10",54200000000.0,69,80018245271_784244903738700,166000,1
santa cruz beach boardwalk,204,9,12,11,"5,47E+10",54700000000.0,162,40035168377_796894695814900,400000,1
six flags discovery kingdom,23,3,3,4,"1,13E+12",1130000000000.0,19,59636827742_755871686575302,275000,3
big kahuna's nj,6,2,0,2,"4,43E+10",44300000000.0,4,26451078324_751622970336810,181000,1
legoland california,57,5,3,7,"1,03E+12",1030000000000.0,48,143631389003522_763015289198068,650000,1
six flags darien lake,67,7,2,8,"3,33E+11",333000000000.0,60,9596249636_727405032768661,226000,1
hurricane harbor oklahoma city,14,0,2,0,"3,68E+12",3680000000000.0,9,87241076807_762737609227965,43000,1
busch gardens tampa bay,182,10,30,12,"3,32E+11",332000000000.0,126,68181225238_752233703601936,692000,2
