profile,nr_reactions,nr_comments,nr_shares,comments/post,post_interaction_rate,engagement,nr_likes,post_id,followers,post_type
six flags discovery kingdom,82,5,4,5,"3,42E+12",3420000000000.0,73,59636827742_747568834072254,275000,1
busch gardens williamsburg,37,6,2,6,"6,33E+09",6330000000.0,36,18543728314_747047127463925,690000,1
walt disney animation studios,1795,159,142,240,"1,71E+12",1710000000000.0,1035,23245476854_923445162485674,12000000,1
six flags,35,2,4,2,"8,90E+09",8900000000.0,27,8696281132_684444140550543,4400000,1
kings island,66,1,16,1,"1,21E+12",1210000000000.0,53,155893938367_754531956714495,692000,1
playland,3,0,0,0,"9,28E+09",9280000000.0,3,170865866397863_675627764694994,23000,1
castles & coasters,2,0,0,0,"8,09E+11",809000000000.0,2,252289045458198_730796672404519,2300,1
sea life park,15,0,0,0,"5,67E+11",567000000000.0,9,105015532870022_685810410318823,26000,1
lake compounce,78,4,7,7,"5,60E+11",560000000000.0,61,80018245271_777512331078624,166000,1
enchanted island amusement park,13,0,2,0,0.0010611205432937182,0.0010611205432937,11,120659204674179_1514791645729509,15000,2
gilroy gardens,52,2,8,2,"7,59E+11",759000000000.0,37,122943674395623_760857672745882,83000,1
hersheypark,169,11,25,24,"2,54E+12",2540000000000.0,158,16994689356_750706447089222,854000,1
canada's wonderland,41,0,5,0,"5,39E+10",53900000000.0,36,95469803923_761424752692841,837016,2
happy hollow park & zoo,32,2,3,2,"9,37E+10",93700000000.0,28,132942835175_741107174712787,39000,3
santa cruz beach boardwalk,47,1,5,4,"1,35E+12",1350000000000.0,40,40035168377_786629660174737,400000,3
cedar point,69,2,5,4,"4,97E+10",49700000000.0,59,10625691462_752750736884184,1500000,1
knott's berry farm,1009,43,119,57,0.0018531550551254986,0.0018531550551254,942,10286130875_746627680848969,637000,3
enchanted island amusement park,8,0,0,0,"5,66E+11",566000000000.0,7,120659204674179_324809520339386,15000,2
fun spot america,12,0,2,0,"1,42E+12",1420000000000.0,11,184020466977_754148203417861,100000,3
west edmonton mall,592,82,89,131,0.00440179975063696,0.0044017997506369,468,207298682218_748384770669291,189464,1
seaworld san diego,58,5,3,6,"5,98E+11",598000000000.0,45,426111667814056_678035597807735,127000,1
lake winnie,15,2,0,2,"1,38E+11",138000000000.0,8,112097441679_785134816985969,123000,1
walt disney studios (us),394,7,34,7,"1,18E+11",118000000000.0,317,111382562236411_885744759841128,16000000,2
seaworld orlando,267,66,16,70,0.0014789056935774435,0.0014789056935774,228,1782696285170057_365034906198269,267000,1
belmont park,2,0,0,0,"3,96E+11",396000000000.0,2,83231004302_754276353403097,51000,1
six flags,27,4,4,5,"7,82E+09",7820000000.0,23,8696281132_683972410597716,4400000,1
universal orlando resort (us),1542,57,90,113,"5,67E+11",567000000000.0,1238,90867402851_761289572699084,3100000,1
enchanted island amusement park,6,0,0,0,"4,25E+12",4250000000000.0,5,120659204674179_3267077030263636,15000,2
wild adventures theme park,30,15,10,20,"3,26E+11",326000000000.0,25,84679583132_757153979791120,66,1
kings island,136,7,9,22,"2,44E+12",2440000000000.0,101,155893938367_754047180096306,692000,1
six flags great escape and hurricane harbor,80,1,2,1,"9,82E+11",982000000000.0,63,51613191805_739568234870687,84000,1
six flags discovery kingdom,26,3,0,4,"1,13E+11",113000000000.0,25,59636827742_746978474131290,275000,1
busch gardens tampa bay,61,2,3,2,"9,77E+10",97700000000.0,53,68181225238_743046454520661,692000,1
six flags great adventure,92,8,18,26,"1,21E+12",1210000000000.0,79,69421318512_737468585082478,1100000,1
hersheypark,105,4,8,11,"1,44E+11",144000000000.0,87,16994689356_750448447115022,854000,3
wild adventures theme park,52,12,20,21,"5,06E+11",506000000000.0,47,84679583132_757102766462908,66,1
six flags over georgia & hurricane harbor,38,11,12,13,"1,29E+12",1290000000000.0,27,34284255238_740050571491241,479000,1
playland,2,0,0,0,"6,18E+09",6180000000.0,2,170865866397863_675144831409954,23000,1
disneyland paris,340,5,3,19,"6,91E+10",69100000000.0,247,652389081615295_762329392602469,5200000,1
sea life park,18,0,8,0,"9,82E+11",982000000000.0,13,105015532870022_685304393702758,26000,1
six flags magic mountain,36,0,1,0,"5,63E+10",56300000000.0,26,67502107124_745098337652828,660000,1
six flags great adventure,203,23,12,49,"2,35E+12",2350000000000.0,173,69421318512_737127868449883,1100000,1
"santa's workshop north pole, colorado",167,8,12,9,0.0041345942379590935,0.004134594237959,129,344216765184_751623237006091,46000,1
six flags discovery kingdom,8,2,0,2,"3,75E+10",37500000000.0,6,59636827742_746634090832395,275000,3
knott's berry farm,162,9,13,15,"2,97E+12",2970000000000.0,141,10286130875_746223517556052,637000,3
happy hollow park & zoo,16,0,12,0,"7,09E+11",709000000000.0,16,132942835175_740584338098404,39000,1
skypark at santa's village,11,2,2,2,"2,70E+12",2700000000000.0,9,653315854781004_661782539469220,57000,1
wild adventures theme park,13,1,3,1,"9,25E+10",92500000000.0,10,84679583132_756732933166558,66,3
santa cruz beach boardwalk,169,6,16,10,"4,70E+11",470000000000.0,138,40035168377_786003990237304,400000,3
west edmonton mall,72,3,17,3,"4,99E+11",499000000000.0,66,207298682218_747923310715437,189464,3
lake compounce,25,5,0,9,"2,07E+11",207000000000.0,21,80018245271_777395077757016,166000,3
skypark at santa's village,17,1,3,1,"3,78E+11",378000000000.0,16,653315854781004_661733976140743,57000,3
elitch gardens,33,8,0,10,"2,90E+12",2900000000000.0,18,62242807350_738783638287930,145000,1
walt disney studios (us),95,4,5,4,"2,83E+09",2830000000.0,83,111382562236411_885254353223502,16000000,3
enchanted island amusement park,6,1,1,3,"7,08E+11",708000000000.0,3,120659204674179_1068439671269139,15000,2
wild adventures theme park,38,13,19,14,"3,86E+12",3860000000000.0,32,84679583132_756688719837646,66,1
six flags,20,1,0,1,"4,56E+08",456000000.0,15,8696281132_683514247310199,4400000,2
enchanted island amusement park,4,0,1,0,"3,54E+11",354000000000.0,4,120659204674179_1387346581883649,15000,2
belmont park,14,1,3,1,"3,56E+12",3560000000000.0,10,83231004302_753750380122361,51000,1
fun spot america,7,1,0,1,"8,14E+10",81400000000.0,6,184020466977_753629880136360,100000,3
skypark at santa's village,9,1,0,2,"1,98E+12",1980000000000.0,9,653315854781004_661682886145852,57000,3
sesame place san diego,42,3,30,4,0.0028877574283760164,0.002887757428376,27,116946949686332_888837859918595,29000,1
walt disney animation studios,920,27,54,51,"8,03E+09",8030000000.0,640,23245476854_922123712617819,12000000,2
elitch gardens,40,6,0,8,"3,24E+11",324000000000.0,31,62242807350_738729264960034,145000,1
cedar point,63,6,6,8,"4,90E+11",490000000000.0,54,10625691462_752090676950190,1500000,1
belmont park,2,0,0,0,"3,96E+11",396000000000.0,2,83231004302_753705463460186,51000,1
lake winnie,68,3,7,3,"6,34E+10",63400000000.0,57,112097441679_784546877044763,123000,1
universal orlando resort (us),1197,48,79,76,"4,38E+11",438000000000.0,954,90867402851_760478379446870,3100000,1
six flags great escape and hurricane harbor,182,6,3,6,0.0022588580349117743,0.0022588580349117,157,51613191805_738957698265074,84000,1
hersheypark,1026,69,110,110,0.0014490966987111646,0.0014490966987111,827,16994689356_749911677168699,854000,1
"santa's workshop north pole, colorado",144,9,7,11,0.0035633372192772146,0.0035633372192772,111,344216765184_751430360358712,46000,1
six flags,19,3,2,3,"5,21E+09",5210000000.0,18,8696281132_683430193985271,4400000,1
west edmonton mall,45,0,11,0,"3,04E+11",304000000000.0,44,207298682218_747799387394496,189464,1
seaworld san diego,253,17,17,35,0.0027204937919223632,0.0027204937919223,190,426111667814056_677501377861157,127000,1
kings island,32,2,6,4,"6,13E+10",61300000000.0,25,155893938367_753439823490375,692000,1
busch gardens tampa bay,114,3,13,6,"1,97E+12",1970000000000.0,93,68181225238_742485514576755,692000,2
busch gardens williamsburg,32,9,2,21,"7,73E+10",77300000000.0,29,18543728314_745976914237613,690000,2
fun spot america,12,0,0,0,"1,22E+12",1220000000000.0,10,184020466977_753488486817166,100000,1
quassy amusement & waterpark,9,1,0,3,"3,10E+11",310000000000.0,7,38328744398_750727157087105,39000,3
happy hollow park & zoo,12,2,2,2,"4,05E+11",405000000000.0,8,132942835175_740324851457686,39000,1
playland,3,0,0,0,"9,28E+09",9280000000.0,3,170865866397863_674631041461333,23000,1
enchanted island amusement park,25,3,4,5,0.0024067388688327317,0.0024067388688327,20,120659204674179_6945110058865960,15000,2
legoland california,233,16,8,31,"4,16E+11",416000000000.0,188,143631389003522_752575020242095,650000,1
six flags discovery kingdom,21,0,0,0,"7,88E+10",78800000000.0,19,59636827742_746102747552196,275000,1
six flags great adventure,213,9,10,16,"2,12E+11",212000000000.0,181,69421318512_736568775172459,1100000,1
skypark at santa's village,78,7,9,14,0.00181602416570771,0.0018160241657077,59,653315854781004_661263579521116,57000,1
six flags,216,13,21,15,"5,47E+10",54700000000.0,182,8696281132_683032077358416,4400000,1
california's great america,61,12,2,30,"3,53E+12",3530000000000.0,46,28442453154_646438411036061,262000,3
canada's wonderland,237,7,24,13,"3,21E+12",3210000000000.0,205,95469803923_760286189473364,837016,2
happy hollow park & zoo,21,0,2,0,"5,82E+11",582000000000.0,19,132942835175_740026514820853,39000,2
knott's berry farm,276,14,26,22,"5,07E+11",507000000000.0,211,10286130875_745651850946552,637000,1
walt disney studios (us),99,1,5,1,"2,85E+09",2850000000.0,84,111382562236411_884778703271067,16000000,3
six flags over georgia & hurricane harbor,42,6,2,11,"1,13E+12",1130000000000.0,30,34284255238_739078334921798,479000,1
calaway park,3,0,1,0,"8,22E+10",82200000000.0,3,72446805248_753218570183434,48000,1
walt disney animation studios,160,9,18,11,"1,48E+11",148000000000.0,112,23245476854_922046822625508,12000000,2
fun spot america,6,2,0,2,"8,14E+10",81400000000.0,5,184020466977_753115740187774,100000,3
sea life park,17,0,1,0,"6,80E+11",680000000000.0,13,105015532870022_684659937100537,26000,1
lake winnie,11,2,1,2,"1,14E+11",114000000000.0,6,112097441679_784099580422826,123000,1
kings island,93,9,9,9,"1,62E+12",1620000000000.0,69,155893938367_753030173531340,692000,2
"santa's workshop north pole, colorado",70,0,4,0,0.001628055353882032,0.001628055353882,61,344216765184_750820323753049,46000,1
happy hollow park & zoo,20,0,0,0,"5,06E+11",506000000000.0,16,132942835175_739996154823889,39000,2
six flags magic mountain,62,0,4,0,"1,00E+12",1000000000000.0,46,67502107124_744421017720560,660000,1
six flags great escape and hurricane harbor,77,9,3,10,0.0010643959552953698,0.0010643959552953,66,51613191805_738495741644603,84000,1
canada's wonderland,82,3,5,6,"1,09E+12",1090000000000.0,68,95469803923_760226829479300,837016,1
universal studios hollywood,385,29,25,57,"1,72E+12",1720000000000.0,314,61784580148_733992902097563,2700000,1
lake compounce,27,3,0,3,"1,83E+12",1830000000000.0,23,80018245271_774737111356146,166000,1
walt disney studios (us),175,3,14,3,"5,21E+09",5210000000.0,141,111382562236411_884669786615292,16000000,1
wild adventures theme park,254,4,12,4,0.00146864444118079,0.0014686444411807,182,84679583132_756119159894602,66,1
sesame place san diego,28,3,10,6,0.001671859563796641,0.0016718595637966,22,116946949686332_888182103317504,29000,2
busch gardens tampa bay,60,3,8,4,"1,07E+12",1070000000000.0,51,68181225238_742039864621320,692000,2
fun spot america,6,0,0,0,"6,10E+10",61000000000.0,5,184020466977_753048826861132,100000,1
santa cruz beach boardwalk,858,26,38,32,0.0022355843354918284,0.0022355843354918,723,40035168377_783211883849848,400000,3
knott's berry farm,1032,73,155,150,0.00209088549078728,0.0020908854907872,850,10286130875_745553290956408,637000,3
universal orlando resort (us),1810,100,226,185,"7,20E+11",720000000000.0,1281,90867402851_759898606171514,3100000,1
silverwood theme park,52,14,1,14,"1,75E+11",175000000000.0,15,762701550509617_665983255731071,381000,1
walt disney animation studios,405,21,18,26,"3,52E+11",352000000000.0,304,23245476854_921577879339069,12000000,2
walt disney animation studios,633,22,121,31,"6,15E+10",61500000000.0,423,23245476854_921953902634800,12000000,2
walt disney studios (us),0,0,0,0,0.0,0.0,0,111382562236411_747756997373366,16000000,3
walt disney studios (us),161,6,11,6,"4,83E+10",48300000000.0,131,111382562236411_727363818900085,16000000,1
west edmonton mall,40,1,7,1,"2,60E+11",260000000000.0,37,207298682218_747279514113150,189464,1
walt disney studios (us),104,4,9,4,"3,17E+09",3170000000.0,91,111382562236411_884654343283503,16000000,3
busch gardens williamsburg,130,7,9,8,"2,07E+12",2070000000000.0,108,18543728314_745462934289011,690000,1
seaworld san diego,88,2,16,2,"9,46E+11",946000000000.0,62,426111667814056_676967277914567,127000,2
wild adventures theme park,452,83,17,114,0.0031711841081792616,0.0031711841081792,130,84679583132_756024816570703,66,1
seaworld orlando,107,28,15,33,"6,49E+11",649000000000.0,83,1782696285170057_363892716312488,267000,2
cedar point,39,1,2,2,"2,74E+11",274000000000.0,32,10625691462_751367240355867,1500000,2
busch gardens tampa bay,731,124,88,180,0.001478449270986876,0.0014784492709868,449,68181225238_741933631298610,692000,2
hersheypark,629,32,62,41,"8,51E+11",851000000000.0,524,16994689356_749250130568187,854000,1
playland,34,0,0,0,"1,05E+12",1050000000000.0,32,170865866397863_674184511505986,23000,1
six flags,20,3,2,3,"5,43E+10",54300000000.0,16,8696281132_682797570715200,4400000,1
"santa's workshop north pole, colorado",190,3,20,3,0.0046861593294172,0.0046861593294172,154,344216765184_750762177092197,46000,1
disneyland paris,284,30,6,43,"6,36E+10",63600000000.0,229,652389081615295_761151949386880,5200000,1
fun spot america,5,1,0,2,"7,12E+10",71200000000.0,4,184020466977_752633706902644,100000,3
happy hollow park & zoo,48,0,5,0,0.0013416702528921854,0.0013416702528921,36,132942835175_739520331538138,39000,1
disneyland,1442,103,157,236,"1,07E+12",1070000000000.0,1054,11081890741_741696987984182,16000000,2
seaworld san diego,157,5,11,5,0.001543168580017305,0.0015431685800173,103,426111667814056_676621214615840,127000,1
fun spot america,8,0,0,0,"8,14E+10",81400000000.0,7,184020466977_752576903574991,100000,1
santa cruz beach boardwalk,233,8,20,11,"6,36E+11",636000000000.0,186,40035168377_784672417037128,400000,1
sesame place san diego,25,1,10,1,0.0013678850976517973,0.0013678850976517,19,116946949686332_887622446706803,29000,1
elitch gardens,70,5,3,8,"5,47E+10",54700000000.0,55,62242807350_737656338400660,145000,1
six flags discovery kingdom,16,1,2,1,"7,13E+10",71300000000.0,13,59636827742_745536730942131,275000,3
happy hollow park & zoo,4,0,3,0,"1,77E+12",1770000000000.0,4,132942835175_739478094875695,39000,1
pacific park,17,0,1,0,"3,21E+11",321000000000.0,13,61119627598_736622215180193,55000,1
busch gardens williamsburg,561,6,29,6,"8,38E+11",838000000000.0,396,18543728314_745027497665888,690000,1
skypark at santa's village,47,2,5,3,"9,89E+11",989000000000.0,32,653315854781004_660734379574036,57000,3
six flags great adventure,45,3,0,5,"4,44E+10",44400000000.0,43,69421318512_736005151895488,1100000,1
fun spot america,4,0,0,0,"4,07E+10",40700000000.0,3,184020466977_752540230245325,100000,3
walt disney world,2987,162,429,393,"2,21E+12",2210000000000.0,2159,155669083273_750799033757415,16000000,2
lake compounce,49,7,3,16,"4,14E+10",41400000000.0,43,80018245271_774757844687406,166000,1
kings island,834,114,47,164,0.0015259417396904017,0.0015259417396904,674,155893938367_752480583586299,692000,1
california's great america,34,2,2,2,"1,44E+12",1440000000000.0,30,28442453154_645893671090535,262000,2
canada's wonderland,71,6,10,9,"1,05E+12",1050000000000.0,57,95469803923_759642729537710,837016,2
busch gardens tampa bay,387,16,82,20,"7,24E+11",724000000000.0,275,68181225238_741539688004671,692000,2
fun spot america,6,0,0,0,"6,10E+10",61000000000.0,5,184020466977_752518446914170,100000,3
lake winnie,25,2,2,2,"2,36E+11",236000000000.0,18,112097441679_783534443812673,123000,1
seaworld orlando,8609,55,603,55,0.0388359686361941,0.0388359686361941,6676,1782696285170057_363488423019584,267000,1
fun spot america,9,1,0,1,"1,02E+12",1020000000000.0,8,184020466977_752499533582728,100000,1
busch gardens williamsburg,166,26,11,36,"2,99E+11",299000000000.0,124,18543728314_744959227672715,690000,1
cedar point,170,29,74,40,"1,81E+12",1810000000000.0,144,10625691462_750897250402866,1500000,1
walt disney studios (us),188,8,23,8,"5,95E+09",5950000000.0,157,111382562236411_884190739996530,16000000,1
silverwood theme park,51,17,1,17,"1,80E+11",180000000000.0,29,762701550509617_665447215784675,381000,1
wild adventures theme park,608,1364,95,1423,0.01156459254665818,0.0115645925466581,436,84679583132_755564683283383,66,1
skypark at santa's village,27,0,0,0,"4,86E+12",4860000000000.0,27,653315854781004_660667169580757,57000,1
seaworld orlando,141,6,13,7,"6,75E+11",675000000000.0,115,1782696285170057_363427933025633,267000,1
walt disney animation studios,572,21,67,26,"5,21E+09",5210000000.0,376,23245476854_921481832682007,12000000,2
hersheypark,129,8,5,12,"1,70E+11",170000000000.0,115,16994689356_748808470612353,854000,1
sesame place san diego,39,2,4,2,0.0017098563720647465,0.0017098563720647,28,116946949686332_887433893392325,29000,1
walt disney studios (us),96,4,2,4,"2,77E+10",27700000000.0,68,111382562236411_884130966669174,16000000,2
santa cruz beach boardwalk,206,19,14,27,"5,95E+10",59500000000.0,173,40035168377_784548663716170,400000,1
canada's wonderland,931,29,79,57,0.0012493355221098433,0.0012493355221098,757,95469803923_759558426212807,837016,1
six flags great escape and hurricane harbor,348,18,26,20,0.004659688959848619,0.0046596889598486,297,51613191805_737769788383865,84000,1
fun spot america,19,1,0,1,"2,03E+11",203000000000.0,18,184020466977_752428740256474,100000,3
acn - america's coaster network,47,4,0,8,0.0286607608129234,0.0286607608129234,30,111078814744_1024051352031109,4000,1
acn - america's coaster network,11,0,0,0,0.005732152162584679,0.0057321521625846,5,111078814744_1024049868697924,4000,1
six flags,22,12,1,14,"8,03E+09",8030000000.0,17,8696281132_682354760759481,4400000,2
belmont park,3,0,1,0,"7,91E+10",79100000000.0,3,83231004302_752524286911637,51000,1
acn - america's coaster network,5,0,0,0,0.0026055237102657635,0.0026055237102657,5,111078814744_1024039765365601,4000,2
universal orlando resort (us),375,42,12,99,"1,58E+12",1580000000000.0,314,90867402851_759218346239540,3100000,1
west edmonton mall,120,6,17,8,"7,86E+11",786000000000.0,113,207298682218_746713197503115,189464,2
fun spot america,7,0,0,0,"7,12E+09",7120000000.0,7,184020466977_752401906925824,100000,3
walt disney studios (us),78,2,3,2,"2,25E+09",2250000000.0,66,111382562236411_884095976672673,16000000,3
quassy amusement & waterpark,11,2,0,2,"3,36E+12",3360000000000.0,9,38328744398_749696063856881,39000,2
six flags darien lake,163,14,8,36,"8,96E+11",896000000000.0,140,9596249636_717522240423607,226000,1
glenwood caverns adventure park,18,0,2,0,"2,23E+12",2230000000000.0,15,58441077768_764090159096408,93000,3
walt disney studios (us),324,5,20,5,"9,48E+09",9480000000.0,269,111382562236411_884070796675191,16000000,2
knott's berry farm,1961,255,424,372,0.0043117132530836495,0.0043117132530836,1472,10286130875_744931697685234,637000,2
six flags,19,0,3,0,"4,78E+10",47800000000.0,16,8696281132_682285887433035,4400000,1
fun spot america,55,8,2,9,"6,71E+11",671000000000.0,42,184020466977_752316933600988,100000,3
glenwood caverns adventure park,89,0,1,0,0.0010056427733392927,0.0010056427733392,69,58441077768_763568982481859,93000,1
playland,7,0,1,0,"2,47E+10",24700000000.0,7,170865866397863_673636551560782,23000,2
wild adventures theme park,68,2,0,3,"3,86E+12",3860000000000.0,43,84679583132_755393669967151,66,1
fun spot america,5,1,1,1,"7,12E+09",7120000000.0,4,184020466977_752288646937150,100000,3
hersheypark,101,7,17,11,"1,50E+11",150000000000.0,89,16994689356_748611967298670,854000,1
sea life park,9,0,2,0,"4,16E+12",4160000000000.0,7,105015532870022_683744477192083,26000,2
fun spot america,9,0,0,0,"9,15E+10",91500000000.0,7,184020466977_752063520292996,100000,3
california's great america,130,7,16,13,"6,04E+11",604000000000.0,107,28442453154_645431271136775,262000,1
legoland california,122,7,6,9,"2,10E+12",2100000000000.0,97,143631389003522_751390867027177,650000,1
pacific park,4,0,2,0,"1,07E+12",1070000000000.0,3,61119627598_736109641898117,55000,1
knott's berry farm,469,39,64,52,"9,15E+10",91500000000.0,422,10286130875_744625817715822,637000,3
happy hollow park & zoo,6,0,2,0,"2,03E+11",203000000000.0,6,132942835175_738921398264698,39000,1
wild adventures theme park,43,3,2,5,"2,72E+11",272000000000.0,34,84679583132_755091796664005,66,1
six flags discovery kingdom,47,8,8,9,"2,40E+11",240000000000.0,23,59636827742_744925544336583,275000,1
california's great america,42,1,7,1,"1,90E+11",190000000000.0,39,28442453154_645378704475365,262000,1
cedar point,244,657,37,699,"6,24E+11",624000000000.0,206,10625691462_750314437127814,1500000,1
acn - america's coaster network,3,0,0,0,0.001563314226159458,0.0015633142261594,1,111078814744_1023636448739266,4000,1
kings island,86,9,8,12,"1,55E+11",155000000000.0,72,155893938367_751903463644011,692000,1
lake winnie,18,0,2,0,"1,63E+12",1630000000000.0,13,112097441679_782982030534581,123000,1
seaworld orlando,1197,48,192,66,0.0060981232030444515,0.0060981232030444,786,1782696285170057_362901379744955,267000,1
six flags,14,1,3,1,"3,91E+08",391000000.0,11,8696281132_681889514139339,4400000,1
six flags great escape and hurricane harbor,152,7,1,9,0.0019159127195316659,0.0019159127195316,122,51613191805_737215008439343,84000,1
canada's wonderland,237,25,28,37,"3,54E+11",354000000000.0,194,95469803923_759045442930772,837016,1
fun spot america,23,0,1,0,"2,44E+12",2440000000000.0,17,184020466977_751932340306114,100000,1
quassy amusement & waterpark,7,0,0,0,"1,81E+12",1810000000000.0,7,38328744398_749217417238079,39000,1
wild adventures theme park,38,1,0,1,"2,12E+12",2120000000000.0,32,84679583132_755037923336059,66,1
happy hollow park & zoo,6,0,0,0,"1,52E+12",1520000000000.0,6,132942835175_738850364938468,39000,1
walt disney animation studios,152,15,8,15,"1,37E+10",13700000000.0,116,23245476854_920970106066513,12000000,2
lake compounce,41,5,14,11,"4,02E+12",4020000000000.0,33,80018245271_774761878020336,166000,1
skypark at santa's village,114,4,7,4,0.0022479992806402303,0.0022479992806402,88,653315854781004_660154906298650,57000,1
belmont park,12,0,2,0,"2,77E+11",277000000000.0,11,83231004302_752027160294683,51000,1
california's great america,68,8,3,8,"3,00E+11",300000000000.0,56,28442453154_645327874480448,262000,1
silverwood theme park,386,11,10,16,0.0010757770008277216,0.0010757770008277,307,762701550509617_664905089172221,381000,1
hurricane harbor oklahoma city,31,3,2,9,"9,66E+11",966000000000.0,24,87241076807_751095797058813,43000,3
santa cruz beach boardwalk,85,14,14,23,"2,94E+11",294000000000.0,68,40035168377_783940013777035,400000,1
belmont park,14,0,0,0,"2,77E+11",277000000000.0,11,83231004302_751999366964129,51000,1
belmont park,4,0,1,0,"9,89E+10",98900000000.0,4,83231004302_751998870297512,51000,1
busch gardens tampa bay,83,13,14,23,"1,78E+12",1780000000000.0,60,68181225238_740920384733268,692000,2
seaworld san diego,135,10,25,11,0.0015254781615757923,0.0015254781615757,81,426111667814056_675956794682282,127000,2
disneyland,963,137,139,195,"7,55E+10",75500000000.0,712,11081890741_740963214724226,16000000,2
west edmonton mall,33,0,5,0,"2,06E+12",2060000000000.0,31,207298682218_746168720890896,189464,3
walt disney studios (us),156,1,11,1,"4,57E+09",4570000000.0,131,111382562236411_883581603390777,16000000,3
walt disney animation studios,1121,58,77,94,"1,01E+12",1010000000000.0,717,23245476854_920561572774033,12000000,2
belmont park,3,0,0,0,"5,94E+11",594000000000.0,2,83231004302_751956793635053,51000,1
playland,9,0,2,0,"3,40E+10",34000000000.0,8,170865866397863_673217074936063,23000,1
six flags great adventure,38,4,4,5,"4,18E+11",418000000000.0,32,69421318512_735213391974664,1100000,1
wild adventures theme park,621,1513,71,1950,0.014374632744999892,0.0143746327449998,437,84679583132_754936763346175,66,1
fun spot america,8,0,0,0,"8,14E+10",81400000000.0,7,184020466977_751817436984271,100000,3
busch gardens williamsburg,210,13,14,15,"3,36E+11",336000000000.0,177,18543728314_744281791073792,690000,1
waterville usa,1,0,1,0,"3,47E+10",34700000000.0,1,138319355040_655622293453785,58000,1
universal orlando resort (us),1232,86,128,136,"4,85E+12",4850000000000.0,1067,90867402851_758550546306320,3100000,3
six flags,82,6,1,6,"1,93E+11",193000000000.0,65,8696281132_681746474153643,4400000,2
"santa's workshop north pole, colorado",334,12,35,13,0.008411503060730172,0.0084115030607301,274,344216765184_749543440547404,46000,1
castles & coasters,2,0,0,0,"8,09E+11",809000000000.0,2,252289045458198_728151322669054,2300,1
california's great america,22,0,0,0,"8,36E+10",83600000000.0,22,28442453154_644973321182570,262000,3
california's great america,37,0,0,0,"1,41E+12",1410000000000.0,35,28442453154_644965937849975,262000,3
six flags discovery kingdom,62,2,3,2,"2,51E+11",251000000000.0,47,59636827742_744398577722613,275000,3
six flags discovery kingdom,97,4,1,4,"3,83E+12",3830000000000.0,68,59636827742_744397174389420,275000,1
belmont park,10,0,0,0,"1,98E+12",1980000000000.0,8,83231004302_751535120343887,51000,1
wild adventures theme park,104,6,2,6,"6,09E+11",609000000000.0,80,84679583132_754536953386156,66,1
kings island,176,10,33,10,"3,20E+11",320000000000.0,127,155893938367_751355267032164,692000,2
california's great america,15,0,0,0,"5,70E+10",57000000000.0,15,28442453154_644821764531059,262000,3
west edmonton mall,34,1,8,1,"2,33E+12",2330000000000.0,33,207298682218_745733317601103,189464,1
six flags magic mountain,452,20,19,48,"7,89E+11",789000000000.0,357,67502107124_742674061228589,660000,1
six flags,60,10,3,11,"1,61E+11",161000000000.0,52,8696281132_681364450858512,4400000,1
walt disney world,1349,157,262,305,"1,11E+12",1110000000000.0,964,155669083273_749566110547374,16000000,2
lake winnie,18,1,3,1,"1,79E+12",1790000000000.0,11,112097441679_782424480590336,123000,1
california's great america,42,3,7,3,"1,98E+12",1980000000000.0,33,28442453154_644785141201388,262000,3
happy hollow park & zoo,5,0,0,0,"1,27E+12",1270000000000.0,5,132942835175_738311868325651,39000,1
california's great america,70,4,7,4,"3,08E+11",308000000000.0,58,28442453154_644770271202875,262000,1
fun spot america,17,0,0,0,"1,73E+12",1730000000000.0,15,184020466977_751360500363298,100000,1
happy hollow park & zoo,10,0,1,0,"2,78E+11",278000000000.0,7,132942835175_738293791660792,39000,2
hersheypark,566,28,78,38,"7,93E+11",793000000000.0,448,16994689356_747714747388392,854000,2
seaworld orlando,475,28,62,34,0.002393246936140963,0.0023932469361409,307,1782696285170057_362319856469774,267000,2
sesame place san diego,17,2,13,3,0.0012539423186533419,0.0012539423186533,14,116946949686332_885927010209680,29000,1
walt disney studios (us),187,6,18,6,"5,74E+09",5740000000.0,142,111382562236411_883112900104314,16000000,1
santa cruz beach boardwalk,409,21,34,28,0.0011345980126467932,0.0011345980126467,341,40035168377_782630683907968,400000,3
knott's berry farm,200,21,21,22,"3,80E+12",3800000000000.0,158,10286130875_743966557781748,637000,1
seaworld san diego,122,10,19,11,0.0013560168788416761,0.0013560168788416,80,426111667814056_675394368071858,127000,2
skypark at santa's village,41,3,6,3,"8,99E+11",899000000000.0,37,653315854781004_659573686356772,57000,1
glenwood caverns adventure park,39,1,1,1,"4,58E+12",4580000000000.0,29,58441077768_762807812557976,93000,1
fun spot america,6,0,0,0,"6,10E+10",61000000000.0,5,184020466977_751272733705408,100000,3
six flags,31,9,0,10,"8,90E+08",890000000.0,31,8696281132_681258447535779,4400000,1
busch gardens tampa bay,126,5,16,11,"2,26E+12",2260000000000.0,96,68181225238_740312478127392,692000,1
west edmonton mall,249,7,23,12,0.0015397710945929096,0.0015397710945929,202,207298682218_745601540947614,189464,1
belmont park,2,0,0,0,"3,96E+11",396000000000.0,2,83231004302_751383847025681,51000,1
universal studios hollywood,327,27,30,61,"1,54E+12",1540000000000.0,252,61784580148_732158138947706,2700000,1
walt disney animation studios,1550,77,84,176,"1,42E+10",14200000000.0,1094,23245476854_919914836172040,12000000,1
